id	ori_Barinel	pred_Barinel	predWithReplace_Barinel	tot_Barinel	ori_DStar	pred_DStar	predWithReplace_DStar	tot_DStar	ori_Ochiai	pred_Ochiai	predWithReplace_Ochiai	tot_Ochiai	ori_Op2	pred_Op2	predWithReplace_Op2	tot_Op2	ori_Tarantula	pred_Tarantula	predWithReplace_Tarantula	tot_Tarantula
90	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
91	1.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	4.0	1.0	3.0	1.0	4.0	1.0	3.0
92	1.0	3.0	2.0	2.0	1.0	3.0	2.0	2.0	1.0	3.0	2.0	2.0	1.0	3.0	2.0	2.0	1.0	3.0	2.0	2.0
93	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
94	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
95	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0
96	3.0	5.0	3.0	3.0	3.0	5.0	3.0	3.0	3.0	5.0	3.0	4.0	3.0	5.0	3.0	4.0	3.0	5.0	3.0	4.0
97	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
98	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
99	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
100	3.0	26.0	3.0	3.0	3.0	26.0	3.0	3.0	3.0	26.0	3.0	6.0	3.0	26.0	3.0	12.0	3.0	26.0	3.0	12.0
102	3.0	1.0	3.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	3.0	1.0	3.0	1.0
103	5.0	9.0	5.0	7.0	5.0	9.0	5.0	7.0	5.0	9.0	5.0	7.0	5.0	9.0	5.0	8.0	5.0	9.0	5.0	8.0
104	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
105	2.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0
106	2.0	8.0	2.0	2.0	2.0	8.0	2.0	2.0	2.0	8.0	2.0	3.0	2.0	8.0	2.0	5.0	2.0	8.0	2.0	5.0
top_1_3_5_10	32_70_75_83	32_46_52_63	33_70_76_84	37_70_75_81	32_69_76_83	32_46_52_62	33_69_77_84	35_70_75_82	31_69_75_83	32_46_52_62	33_69_76_84	36_65_72_78	30_67_72_79	32_45_51_61	32_67_74_80	35_53_59_69	32_70_75_83	32_46_52_63	33_70_76_84	35_52_60_71
percent	0.348_0.761_0.815_0.902	0.348_0.500_0.565_0.685	0.359_0.761_0.826_0.913	0.402_0.761_0.815_0.880	0.348_0.750_0.826_0.902	0.348_0.500_0.565_0.674	0.359_0.750_0.837_0.913	0.380_0.761_0.815_0.891	0.337_0.750_0.815_0.902	0.348_0.500_0.565_0.674	0.359_0.750_0.826_0.913	0.391_0.707_0.783_0.848	0.326_0.728_0.783_0.859	0.348_0.489_0.554_0.663	0.348_0.728_0.804_0.870	0.380_0.576_0.641_0.750	0.348_0.761_0.815_0.902	0.348_0.500_0.565_0.685	0.359_0.761_0.826_0.913	0.380_0.565_0.652_0.772
improve_drop	0_0	19_51	13_21	17_25	0_0	20_51	14_20	15_27	0_0	20_51	14_20	18_37	0_0	21_48	14_20	22_44	0_0	19_51	13_21	20_47
